,Block,Pout,COND,2Ncond,P,Pe,Pmost,RP ,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,trojan
10,4.98,0.36199,171.7567,16.0,1.57e+17,1.1e+18,0.50069,0.00391,0.0,2.0,0.997638776,7.0,1.0,125.0,1.0,4.0,0.500717405,2.091770634,0.0
11,5.45,1.0,49.8749,1.0,0.00195,3.28e+17,0.50296,0.00391,0.0,0.0,1.0,2.0,2.0,116.0,1.0,1.0,0.473059326,1.330408478,0.0
12,4.54,1.0,77.0716,5.0,0.00195,3.41e+17,0.49236,2.99e+17,0.0,1.0,0.998626904,3.0,1.0,2.0,1.0,1.0,0.058076299,0.445873891,0.0
13,0.99,1.0,-19.9637,1.0,0.00195,4.42e+17,0.2847,0.00391,0.0,2.0,0.999104489,2.0,3.0,2.0,2.0,2.0,0.510290439,1.320446869,0.0
14,4.02,0.59414,21281.0,1.0,4.25e+17,1.46e+17,0.26292,2.23e+17,0.0,127.0,1.0,112.0,1.0,2.0,5.0,4.0,0.254237899,3.0,0.0
15,3.38,1.0,71.5412,1755.0,4.12e+17,2.4e+17,0.49188,4.81e+17,0.0,1.0,1.0,4.0,1.0,3.0,1.0,5.0,0.504293622,2.585831397,0.0
16,1.23,1.0,15.6193,1.0,0.00195,4.58e+17,0.48694,7.7e+17,0.0,0.0,0.999585319,1.0,3.0,5.0,1.0,4.0,0.498442351,2.761732377,0.0
17,7.51,1.0,-20.675,1.0,0.00195,2.14e+17,0.49799,4.85e+17,0.0,1.0,0.999330309,2.0,124.0,3.0,1.0,4.0,0.278149036,2.046825515,1.0
18,4.62,1.0,89.2271,1.0,3826350000000000.0,4.05e+17,0.49551,0.00391,0.0,1.0,1.0,134.0,2.0,5.0,1.0,4.0,0.04563925,0.853749557,0.0
19,3.04,0.36187,63.7932,1.0,0.00195,0.00024,0.48835,0.00391,0.0,0.0,1.0,7.0,2.0,3.0,1.0,2.0,0.048788992,2.011867818,0.0
20,1.81,1.0,33.3216,1.0,0.00195,1.51e+17,0.49544,0.00391,0.0,6.0,0.997812032,1.0,2.0,3.0,1.0,2.0,0.97085602,3.0,0.0
21,2.9,0.20337,-3.8295,1.0,2.18e+17,7.09e+16,0.49516,0.00391,0.0,2.0,1.0,108.0,2.0,5.0,1.0,4.0,0.2187,1.853116019,0.0
22,0.63,1.0,87.1813,5.0,2.02e+17,6.58e+17,0.94409,4.83e+17,0.0,1.0,1.0,39.0,4.0,4.0,1.0,13.0,0.505646708,1.244393665,0.0
23,1.82,1.0,-7.7999,1.0,0.00195,7.4e+17,0.49188,0.00391,0.0,2.0,0.999902447,130.0,2.0,3.0,1.0,4.0,0.986188875,2.743163764,0.0
24,0.75,0.9941,67.6049,1.0,0.00195,0.00024,0.50047,0.00391,0.0,2.0,1.0,134.0,1.0,48.0,4.0,2.0,1.0,2.089514921,0.0
25,3.64,1.0,20.0041,2133.0,0.00195,0.00024,0.47906,5.01e+17,0.0,1.0,0.999845859,4.0,1.0,4.0,1.0,3.0,0.54824904,3.0,0.0
26,6.94,1.0,-14.6209,1.0,0.00195,0.00024,0.49318,3.57e+17,0.0,1.0,0.999719743,14.0,2.0,1.0,1.0,1.0,0.504143056,3.0,0.0
27,4.72,0.26067,24.3856,7.0,4.78e+17,4.4e+17,0.49898,0.00391,0.0,1.0,1.0,4.0,31.0,2.0,1.0,2.0,1.0,3.0,0.0
28,5.13,1.0,43.3905,15.0,1.33e+17,8.15e+17,0.48374,7.39e+17,0.0,1.0,0.998895156,5.0,2.0,4.0,1.0,4.0,1.0,3.0,0.0
29,7.74,1.0,-8.4992,1.0,1.8e+17,5.24e+17,0.49319,4.51e+17,0.0,0.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,3.0,0.0
30,4.06,1.0,114.5011,1.0,0.00195,3.26e+17,0.96577,4.6e+17,0.0,1.0,0.999902737,127.0,2.0,129.0,2.0,1.0,0.107970089,3.0,0.0
31,0.92,1.0,107.7645,1.0,3.59e+17,4768750000000000.0,0.49787,0.00391,0.0,1.0,0.998344886,23.0,2.0,1.0,1.0,4.0,0.495769805,2.02788611,0.0
32,2.01,0.1661,51.2103,1.0,0.00195,0.00024,0.487,0.00391,0.0,1.0,0.99793718,2.0,3.0,1.0,1.0,6.0,0.043411792,1.41438106,0.0
33,3.37,1.0,106.8238,19.0,0.00195,7.03e+17,0.49321,4.79e+17,0.0,2.0,0.99709601,4.0,2.0,4.0,1.0,3.0,0.113475351,3.0,0.0
34,4.89,1.0,97.732,1.0,3.76e+17,2.76e+17,0.49505,0.00391,0.0,2.0,1.0,4.0,1.0,11.0,1.0,4.0,0.111334388,3.0,0.0
35,3.03,1.0,203.7728,27.0,1.41e+17,5.45e+17,0.49632,1.38e+17,0.0,0.0,0.999600653,3.0,124.0,1.0,1.0,4.0,0.480228174,3.0,0.0
36,1.91,1.0,122.8608,1.0,0.00195,2.76e+17,0.49403,0.00391,0.0,2.0,1.0,38.0,2.0,3.0,1.0,2.0,0.50339055,1.508919107,1.0
37,1.69,1.0,80.4877,12.0,0.00195,4.49e+17,0.49881,1.38e+17,0.0,1.0,0.999244346,4.0,1.0,4.0,1.0,2.0,0.077527432,3.0,0.0
38,0.82,1.0,114.1762,186.0,0.00195,5.54e+17,0.49538,1.61e+17,0.0,1.0,0.997932701,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0
39,3.32,1.0,-17.1084,1.0,2.43e+17,7.48e+17,0.49423,4.35e+17,0.0,2.0,1.0,5.0,1.0,129.0,1.0,5.0,0.488893202,2.089066637,0.0
40,1.84,1.0,2.8126,17.0,0.00195,3.87e+17,0.45866,0.00391,0.0,0.0,0.99931626,2.0,1.0,4.0,1.0,2.0,0.272803481,2.460628453,0.0
41,3.1,1.0,107.985,1.0,1.05e+17,0.00024,0.50664,5.08e+17,0.0,0.0,0.999768789,30.0,1.0,1.0,2.0,13.0,0.496092302,1.140989868,0.0
42,0.63,1.0,53.3667,1.0,0.00195,4.56e+17,0.43981,2.35e+17,0.0,1.0,1.0,23.0,1.0,3.0,1.0,2.0,0.263403963,2.054261572,0.0
43,1.91,1.0,52.8345,4.0,1.19e+17,3.35e+17,0.49544,1.6e+17,0.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,0.083554043,0.398412644,0.0
44,6.27,1.0,105.4618,3.0,2.26e+16,9.08e+16,0.49658,3.52e+17,0.0,1.0,0.998085496,30.0,2.0,4.0,1.0,4.0,0.5011062,2.116443529,0.0
45,0.74,1.0,88.1467,1.0,3.01e+17,8.8e+16,0.49102,0.00391,0.0,1.0,0.999626861,1.0,1.0,2.0,1.0,2.0,1.0,0.631388023,0.0
46,8.17,1.0,51.4146,12.0,1.97e+17,4.1e+17,0.4995,1.41e+17,0.0,3.0,1.0,7.0,2.0,5.0,5.0,2.0,0.498831383,1.335535753,0.0
47,7.29,1.0,11.7891,1.0,0.00195,7.67e+17,0.92279,2.56e+17,0.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.983702938,0.0
48,1.0,1.0,20.0307,11.0,0.00195,1.32e+17,0.31062,2.07e+17,0.0,127.0,1.0,6.0,1.0,20.0,2.0,4.0,0.062212268,0.819893092,0.0
49,7.57,1.0,118.4722,1.0,0.00195,8.34e+17,0.48722,4.41e+17,0.0,0.0,0.999122538,4.0,1.0,3.0,1.0,3.0,0.474448789,0.544678355,0.0
50,2.09,1.0,67.7294,15.0,2.2e+17,0.00024,0.49995,0.00391,0.0,0.0,0.997919208,6.0,24.0,3.0,1.0,4.0,0.099750595,1.404627713,0.0
51,2.0,1.0,59.567,12.0,0.00195,5.43e+17,0.9475,5.24e+17,0.0,3.0,0.999816901,3.0,1.0,4.0,1.0,1.0,0.044836334,2.994837826,0.0
52,3.45,0.9987,-8.6971,1.0,0.00195,1.36e+17,0.49051,4.32e+17,0.0,0.0,0.998890331,5.0,35.0,53.0,1.0,7.0,0.967767154,2.99238462,0.0
53,1.82,1.0,170.584,11.0,2.25e+17,6.7e+17,0.50436,0.00391,0.0,0.0,0.999707584,1.0,2.0,1.0,1.0,3.0,0.255382747,1.982678267,0.0
54,3.59,1.0,-8.2058,1.0,1.64e+17,4.17e+17,0.49121,4.78e+17,0.0,1.0,0.999266723,2.0,1.0,4.0,1.0,1.0,1.0,0.899463105,0.0
55,6.47,0.99971,98.2112,1.0,0.00195,3.37e+17,0.49845,1.36e+17,0.0,3.0,1.0,3.0,3.0,3.0,1.0,6.0,0.076819484,0.545353514,0.0
56,7.77,1.0,-59.6253,1.0,1.99e+17,3.53e+17,0.49494,1.74e+17,0.0,0.0,0.998849267,4.0,2.0,36.0,1.0,6.0,0.326230194,3.0,0.0
57,3.41,0.22964,24.3409,13.0,2.79e+17,3.3e+17,0.87944,4.75e+16,0.0,132.0,1.0,1.0,2.0,2.0,1.0,2.0,0.209307715,2.543187953,0.0
58,0.62,1.0,107.8155,1.0,0.00195,2.01e+17,0.49399,0.00391,0.0,2.0,0.9998564,134.0,3.0,129.0,1.0,2.0,0.291199309,1.172579786,0.0
59,6.72,0.2566,126.2328,1.0,0.00195,5.33e+17,0.49968,5.36e+17,0.0,0.0,0.998859594,2.0,1.0,1.0,1.0,4.0,0.039507736,2.089883541,0.0
60,3.493884117951371,1.0,39.3945,1.0,2.69e+17,5.03e+17,0.93263,1.98e+17,0.0,2.0,0.998994868,134.0,1.0,5.0,5.0,2.0,0.135515404,1.458454532,0.0
61,6.31,1.0,112.6282,16.0,1.73e+17,2.69e+17,0.49641,2.6e+17,0.0,2.0,0.999320196,7.0,1.0,3.0,34.0,2.0,0.10888144,1.264700645,1.0
62,3.02,1.0,24.3586,5.0,0.00195,1.32e+17,0.49857,2.71e+17,0.0,2.0,0.999166627,6.0,3.0,4.0,5.0,4.0,0.177897695,2.065291222,0.0
63,8.97,1.0,74.3559,6.0,2.1e+17,8.33e+16,0.49605,1.06e+17,0.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,0.520756305,3.0,0.0
64,0.67,1.0,193.0559,1.0,0.00195,3.92e+17,0.48972,4.72e+17,0.0,2.0,0.99878043,7.0,1.0,1.0,1.0,4.0,0.532607973,2.609200229,0.0
65,2.11,1.0,64.0753,1.0,5e+16,2.21e+17,0.50421,2.8e+17,0.0,1.0,1.0,5.0,1.0,129.0,1.0,4.0,0.107970564,3.0,0.0
66,1.91,1.0,-5.9577,1.0,3.18e+16,1.46e+17,0.49226,5.75e+17,0.0,1.0,0.998578317,4.0,2.0,4.0,1.0,4.0,0.171624557,3.0,0.0
67,5.14,1.0,-49.8865,1.0,4.07e+17,6.63e+17,0.49325,0.00391,0.0,1.0,1.0,134.0,1.0,40.0,1.0,3.0,0.151724993,1.212199087,0.0
68,4.0,0.19068,-10.0545,1.0,0.00195,5.22e+17,0.49404,0.00391,0.0,2.0,0.999541601,1.0,1.0,2.0,1.0,2.0,0.520138146,0.458555189,0.0
69,2.9,1.0,68.7779,1.0,0.00195,7.46e+17,0.49591,4.04e+17,0.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,0.28054601,3.0,0.0
70,3.58,1.0,108.3953,1.0,1.31e+17,0.00024,0.33916,5.56e+17,0.0,2.0,0.99944971,7.0,1.0,4.0,97.0,4.0,0.496557332,1.290782279,0.0
71,2.93,1.0,44.118,1.0,0.00195,0.00024,0.49319,3.84e+17,0.0,0.0,0.998170079,130.0,2.0,2.0,123.0,2.0,0.964103701,3.0,0.0
72,3.37,1.0,137.7509,1.0,0.00195,2.11e+17,0.49458,8.22e+16,0.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,0.255339984,3.0,0.0
73,1.02,1.0,-104.1125,1.0,4.02e+17,9.89e+16,0.49211,7.92e+17,0.0,2.0,0.998616954,3.0,1.0,3.0,5.0,2.0,0.146457065,3.0,0.0
74,6.43,1.0,93.371,1.0,7408290000000000.0,9.3e+16,0.4894,5.1e+16,0.0,1.0,0.998736694,127.0,3.0,3.0,1.0,4.0,0.058146763,1.167497282,0.0
75,6.55,1.0,96.1908,1.0,0.00195,0.00024,0.50211,1.94e+17,0.0,1.0,0.999517017,4.0,1.0,4.0,1.0,6.0,0.100530445,3.0,0.0
76,1.67,0.99871,102.9765,1.0,0.00195,6.73e+17,0.49362,1.48e+17,0.0,0.0,0.999901152,7.0,3.0,5.0,5.0,2.0,0.007984189,0.0,0.0
77,3.66,1.0,52.9162,1.0,8.79e+16,6.77e+17,0.49879,2.32e+17,0.0,2.0,0.997433764,4.0,2.0,4.0,1.0,4.0,0.300901529,2.05894537,0.0
78,3.22,1.0,87.0922,1.0,2.26e+17,6.6e+17,0.49012,4.04e+17,0.0,1.0,0.998959251,133.0,1.0,2.0,1.0,3.0,0.49286699,3.0,0.0
79,3.28,0.99868,77.0957,1.0,0.00195,0.00024,0.4996,4.12e+17,0.0,1.0,0.998733321,5.0,1.0,2.0,1.0,8.0,0.28106665,0.547612512,0.0
80,1.88,1.0,122.685,1.0,4.56e+17,2.86e+17,0.89434,9.39e+16,0.0,1.0,1.0,3.0,1.0,2.0,2.952894378729195,4.0,0.044876525,1.71612468,0.0
81,9.03,1.0,11.3281,15.0,3.49e+16,2.99e+16,0.49501,0.00391,0.0,132.0,1.0,2.0,1.0,3.0,1.0,4.0,0.520044782,2.1060305,0.0
82,2.89,0.99478,130.3807,1.0,3.7e+16,8.19e+17,0.49827,4.45e+17,0.0,1.0,0.999735823,2.0,1.0,31.0,1.0,4.0,0.08353313,3.0,0.0
83,7.22,0.56502,145.778,1.0,1.1e+17,0.00024,0.49687,0.00391,0.0,2.0,1.0,126.0,1.0,4.0,1.0,4.0,0.275399537,2.461598717,0.0
84,1.92,0.25023,92.8365,1.0,0.00195,5.12e+17,0.49118,0.00391,0.0,2.0,0.997717887,5.0,1.0,3.0,1.0,4.0,0.49568923,1.320567742,0.0
85,7.23,1.0,-18.5799,8.0,0.00195,5.01e+17,0.49589,0.00391,0.0,2.0,0.999993979,2.0,2.0,1.0,1.0,2.0,0.082500273,3.0,0.0
86,0.36,0.34078,60.3711,1.0,0.00195,7.71e+17,0.93689,0.00391,0.0,0.0,0.998978566,134.0,2.0,5.0,1.0,3.0,0.159010286,1.294657994,0.0
87,6.05,1.0,89.1066,12.0,0.00195,0.00024,0.49533,2.37e+17,0.0,1.0,0.999795792,3.0,2.0,53.0,6.0,4.0,0.093626524,1.391335743,0.0
88,7.38,0.18547,-26.803,1.0,3.46e+17,7.73e+16,0.49484,0.00391,0.0,0.0,1.0,3.0,1.0,35.0,1.0,1.0,0.289371839,2.590419419,0.0
89,6.78,1.0,-27.045,1.0,1.23e+17,4.56e+17,0.49224,1963590000000000.0,0.0,0.0,0.998539677,1.0,26.0,1.0,1.0,11.0,0.973678705,3.0,0.0
90,3.25,1.0,45.7224,1.0,8.27e+16,3.02e+17,0.49681,0.00391,0.0,2.0,1.0,5.0,1.0,2.0,1.0,4.0,0.494638147,3.0,0.0
91,6.95,0.58406,40.407,5.0,0.00195,3.11e+17,0.91122,0.00391,0.0,3.0,0.999723354,8.0,1.0,3.0,4.0,2.0,0.133339488,1.485433965,0.0
92,3.17,0.22069,92.938,1.0,0.00195,8.38e+17,0.49936,3.8e+16,0.0,0.0,0.999653054,4.0,1.0,3.0,1.0,1.0,1.0,1.150172238,0.0
93,0.61,1.0,125.473,7.0,2.51e+17,0.00024,0.50039,2.08e+17,0.0,126.0,0.999160596,1.0,3.0,127.0,1.0,1.0,0.492905701,2.428013301,0.0
94,1.83,1.0,90.3578,1.0,2.79e+17,0.00024,0.49489,8.23e+17,0.0,0.0,1.0,2.0,1.0,2.0,1.0,6.0,0.493818295,0.389956117,0.0
95,1.6,1.0,75.005,1.0,1.08e+17,1.75e+17,0.48868,3.69e+17,0.0,2.0,0.999755666,5.0,1.0,1.0,1.0,2.0,0.310722965,3.0,0.0
96,0.83,1.0,58.3482,1.0,1.42e+17,0.00024,0.49687,4.26e+17,0.0,3.0,1.0,3.0,1.0,3.0,5.0,4.0,0.107746763,1.439655078,0.0
97,3.37,1.0,-10.0487,13.0,2.08e+17,1.9e+17,0.49512,2.52e+17,0.0,0.0,0.999803337,1.0,2.0,4.0,1.0,4.0,0.975321771,0.435985409,0.0
98,1.78,1.0,10.1811,1.0,4.02e+17,6.86e+16,0.50021,3.84e+17,0.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,0.492476692,1.86515414,0.0
99,3.6,1.0,58.2468,93.0,1.27e+17,5.11e+17,0.49457,3.79e+17,0.0,1.0,0.999686333,122.0,3.0,2.0,1.0,1.0,0.492136076,2.07742141,0.0
100,0.98,0.30058,50.0406,1.0,2.08e+17,1.14e+17,0.49232,5.52e+17,0.0,2.0,1.0,4.0,1.0,5.0,1.0,3.0,0.984263609,2.969395666,0.0
101,0.18,1.0,68.0571,10.0,1.8e+17,8.29e+17,0.4959,2.89e+17,0.0,1.0,1.0,6.0,3.0,6.0,5.0,4.0,0.162635716,1.04001416,1.0
102,2.73,1.0,13.4897,5.0,6.03e+17,6.65e+16,0.49425,4.81e+16,0.0,1.0,0.998868746,4.0,1.0,4.0,1.0,6.0,1.0,2.144036937,0.0
103,1.58,0.55519,64.8729,1.0,1.76e+17,5.45e+17,0.49944,0.00391,0.0,1.0,0.999061383,5.0,1.0,5.0,1.0,13.0,0.264888608,0.709742153,0.0
104,3.22,1.0,62.7655,1.0,9.37e+16,1.64e+17,0.5014,8.7e+16,0.0,0.0,0.998969031,3.0,7.0,3.0,1.0,4.0,0.495860882,2.595545022,0.0
105,3.42,1.0,-12.0558,1.0,0.00195,5.27e+17,0.49048,0.00391,0.0,1.0,1.0,3.0,10.0,40.0,1.0,3.8150470219435735,0.483408422,2.481573226,0.0
106,1.92,1.0,147.1665,6.0,0.00195,4.17e+16,0.49366,0.00391,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.501266094,1.800451671,0.0
107,0.63,1.0,101.4165,1.0,0.00195,2.48e+17,0.50153,1.86e+17,0.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,0.248941811,2.033721447,0.0
108,0.5,1.0,63.2493,1.0,2.09e+17,1.29e+17,0.29365,1.07e+17,0.0,3.0,0.999113441,5.0,1.0,4.0,1.0,2.0,0.051161619,3.0,0.0
109,5.01,1.0,-23.3503,18.0,9909780000000000.0,0.00024,0.93514,4.92e+17,0.0,132.0,0.999784424,4.0,2.0,4.0,1.0,4.0,1.0,2.026264313,0.0
110,6.2,1.0,46.0033,3.0,0.00195,3.93e+17,0.49126,5.49e+17,0.0,1.0,0.998524682,128.0,1.0,4.0,2.0,3.0,0.483961077,3.0,0.0
111,0.89,1.0,35.3273,1.0,0.00195,2.39e+17,0.50033,1.12e+17,0.0,0.0,0.99844619,2.0,2.0,1.0,5.0,5.0,0.511669156,2.084550959,0.0
112,3.34,1.0,22.9905,1.0,2.7e+17,3.59e+17,0.48952,3.6e+17,0.0,1.0,0.999695865,2.0,1.0,3.0,1.0,4.0,0.969786502,3.0,0.0
113,2.07,0.52452,24.0073,10.0,9.2e+16,0.00024,0.39488,3.1e+16,0.0,1.0,0.999148045,1.0,1.0,3.0,1.0,4.0,0.504120504,1.449560452,0.0
114,3.36,1.0,15.3293,1.0,3.37e+17,6.43e+17,0.50155,2.16e+17,0.0,0.0,1.0,3.0,2.0,3.0,2.0,4.0,0.994001742,0.438487887,0.0
115,0.73,0.49916,6.2894,1.0,2.92e+16,1.7e+17,0.50253,0.00391,0.0,0.0,0.999082975,1.0,2.0,3.0,1.0,6.0,0.500677795,2.353801758,0.0
116,1.97,1.0,69.8771,2.0,0.00195,2.06e+17,0.50549,0.00391,0.0,2.0,0.999160246,119.0,1.0,1.0,1.0,2.0,0.497908574,1.704214678,0.0
117,0.78,1.0,23.6733,1.0,9.95e+16,3.7e+17,0.49531,0.00391,0.0,2.0,0.999981783,30.0,1.0,2.0,1.0,2.0,0.316261059,2.444828103,1.0
118,1.87,1.0,-12.0014,2053.0,3.65e+17,8.74e+17,0.49284,5.17e+17,0.0,1.0,0.998534721,4.0,2.0,3.0,1.0,2.0,0.96349476,1.714570397,0.0
119,3.33,1.0,109.6075,4.0,1.29e+17,4.49e+17,0.49614,0.00391,0.0,1.0,0.99964362,1.0,1.0,2.0,1.0,2.0,0.520252393,3.0,0.0
120,1.68,0.22591,-30.6084,27.0,1.18e+17,3.03e+17,0.49217,0.00391,0.0,2.0,1.0,126.0,1.0,3.0,1.0,4.0,0.517991142,1.769122323,0.0
121,3.66,0.99922,114.378,6.0,5.05e+17,2.44e+16,0.49465,1.54e+16,0.0,4.0,1.0,5.0,3.0,1.0,2.952894378729195,2.0,0.508516478,1.083828033,0.0
122,6.81,1.0,31.7194,1.0,0.00195,2.8e+17,0.49454,7.82e+16,0.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.023038214,3.0,0.0
123,1.75,1.0,77.2594,9.0,0.00195,1.27e+17,0.50143,2.18e+17,0.0,1.0,0.999165435,4.0,26.0,40.0,1.0,2.0,0.509812059,1.444551398,1.0
124,0.64,1.0,128.1997,9.0,0.00195,3.58e+17,0.48837,8.42e+17,0.0,1.0,0.99979369,126.0,2.0,4.0,1.0,7.0,0.995547564,1.335109754,0.0
125,6.78,1.0,-5.8403,8.0,2.71e+17,4.26e+17,0.50091,0.00391,0.0,1.0,0.999481341,4.0,1.0,1.0,1.0,2.0,0.49823708,1.253339052,0.0
126,6.01,1.0,99.9087,1.0,2.98e+17,3.96e+17,0.49886,1.08e+16,0.0,0.0,1.0,1.0,1.0,4.0,1.0,6.0,0.488378078,3.0,0.0
127,1.86,0.99877,115.5003,1.0,0.00195,2.99e+17,0.49153,3.34e+17,0.0,0.0,0.999778789,1.0,2.0,4.0,1.0,4.0,0.058207682,2.023603777,0.0
128,3.8,1.0,-2.6522,1.0,0.00195,1.73e+17,0.49289,4.63e+17,0.0,0.0,0.999221021,3.0,2.0,4.0,4.0,1.0,0.113701096,3.0,0.0
129,0.56,1.0,134.0363,1.0,0.00195,4.79e+17,0.49383,0.00391,0.0,0.0,0.999698162,1.0,1.0,4.0,4.0,3.8150470219435735,0.514718743,1.439192419,0.0
130,1.05,1.0,26.5664,2.0,0.00195,4.62e+17,0.49455,0.00391,0.0,1.0,0.99847124,134.0,1.0,129.0,1.0,7.0,0.517949973,1.282148416,0.0
131,7.77,0.56169,5.7253,1.0,0.00195,2.27e+17,0.49441,0.00391,0.0,1.0,1.0,3.0,2.0,128.0,5.0,2.0,0.490843348,3.0,0.0
132,1.05,1.0,111.2482,17.0,2.46e+17,5.13e+17,0.48609,4.36e+16,0.0,1.0,0.998064098,1.0,1.0,3.0,1.0,7.0,0.153799594,1.924578248,0.0
133,1.89,1.0,5.4431,4.0,3.42e+17,3.98e+17,0.49936,4.5e+17,0.0,1.0,1.0,121.0,1.0,129.0,1.0,6.0,0.524720507,1.538875332,0.0
134,1.81,0.99929,-10.5865,1.0,3.37e+17,4.56e+17,0.49611,3.87e+17,0.0,3.0,1.0,5.0,1.0,129.0,1.0,2.0,0.263411089,2.701367315,0.0
135,0.31,1.0,41.7179,1.0,0.00195,8.53e+17,0.49184,2.57e+17,0.0,1.0,0.999014319,4.0,2.0,3.0,5.0,2.0,0.960347236,0.37007513,0.0
136,3.4,0.24608,10.5147,1.0,0.00195,5.63e+17,0.48956,0.00391,0.0,3.0,0.997230434,3.0,3.0,6.0,4.0,1.0,0.12153718,0.445984753,0.0
137,0.29,1.0,64.8644,1.0,2.89e+17,8.89e+16,0.4922,3.45e+17,0.0,0.0,0.997657162,1.0,1.0,1.0,1.0,2.0,0.513759013,2.03879094,0.0
138,6.09,1.0,103.271,1.0,4.78e+17,2.75e+16,0.4969,0.00391,0.0,2.0,1.0,2.0,2.0,4.0,5.0,6.0,0.492592903,2.101762796,0.0
139,1.98,0.30759,29.6874,8.0,4.04e+17,5.22e+17,0.49402,0.00391,0.0,1.0,0.998631218,4.0,2.0,2.0,5.0,1.0,0.168825224,1.322434717,0.0
140,5.71,1.0,38.4658,1.0,1.93e+17,7.51e+17,0.49651,3797830000000000.0,0.0,2.0,0.999233277,1.0,2.0,4.0,1.0,2.0,0.490991999,0.444416978,0.0
141,1.2,0.52686,75.2919,1.0,2.26e+17,1.16e+17,0.49727,1.3e+17,0.0,1.0,0.999432859,5.0,2.0,4.0,1.0,1.0,0.159507831,1.176151439,0.0
142,0.78,1.0,173.2172,1.0,0.00195,4.56e+17,0.49219,0.00391,0.0,0.0,0.998741016,4.0,1.0,1.0,1.0,8.0,0.989301484,2.031686221,0.0
143,5.85,1.0,37.1508,1.0,0.00195,1.24e+17,0.3106,8.92e+16,0.0,2.0,0.996853365,7.0,1.0,3.0,6.0,3.0,0.167758079,1.726269575,0.0
144,5.55,1.0,67.0074,5.0,0.00195,1.15e+18,0.49089,5.99e+17,0.0,2.0,1.0,6.0,3.0,2.0,5.0,4.0,0.265845148,2.372854984,0.0
145,3.09,1.0,57.4718,1.0,4.16e+17,7.67e+17,0.50495,1.02e+17,0.0,1.0,0.997878035,1.0,33.0,1.0,1.0,3.0,0.208740823,2.982741724,0.0
146,3.26,1.0,31.1623,1.0,1.12e+16,8.06e+17,0.49435,1.23e+17,0.0,2.0,1.0,124.0,1.0,129.0,5.0,12.0,0.504177899,1.842420014,0.0
147,0.58,0.14527,66.9857,1.0,1.94e+17,5.68e+17,0.92443,7.07e+16,0.0,2.0,0.998947896,5.0,2.0,4.0,1.0,3.0,0.167172083,1.766411666,0.0
148,4.01,1.0,131.5651,2133.0,0.00195,5.78e+17,0.49393,2.94e+17,0.0,3.0,0.99746568,134.0,1.0,4.0,4.0,6.0,0.186996936,3.0,1.0
